Time,Open,High,Low,Close,Volume
11.01.2018 11:30:00.000 GMT+0330,1316.708,1317.869,1316.548,1317.218,4709119.797
11.01.2018 12:30:00.000 GMT+0330,1317.218,1318.759,1316.771,1318.318,4080699.921
11.01.2018 13:30:00.000 GMT+0330,1318.308,1320.147,1318.179,1319.418,3669739.962
11.01.2018 14:30:00.000 GMT+0330,1319.418,1319.609,1318.158,1319.178,4017829.895
11.01.2018 15:30:00.000 GMT+0330,1319.172,1320.419,1317.758,1319.488,6857870.102
11.01.2018 16:30:00.000 GMT+0330,1319.488,1322.769,1319.278,1320.938,7302110.195
11.01.2018 17:30:00.000 GMT+0330,1320.918,1323.298,1319.941,1322.458,6415949.822
11.01.2018 18:30:00.000 GMT+0330,1322.451,1323.472,1319.789,1321.122,7858709.812
11.01.2018 19:30:00.000 GMT+0330,1321.121,1322.658,1320.458,1321.668,6197750.092
11.01.2018 20:30:00.000 GMT+0330,1321.672,1322.502,1321.658,1322.202,3535150.051
11.01.2018 21:30:00.000 GMT+0330,1322.299,1323.902,1321.111,1322.482,4179349.899
11.01.2018 22:30:00.000 GMT+0330,1322.481,1323.828,1322.391,1323.152,3912509.918
11.01.2018 23:30:00.000 GMT+0330,1323.151,1323.261,1321.161,1321.751,3164769.888
12.01.2018 00:30:00.000 GMT+0330,1321.749,1322.731,1321.429,1321.489,1871580.005
12.01.2018 01:30:00.000 GMT+0330,1321.489,1321.489,1321.489,1321.489,0
12.01.2018 02:30:00.000 GMT+0330,1322.471,1322.842,1321.501,1322.748,1782580.018
12.01.2018 03:30:00.000 GMT+0330,1322.741,1324.939,1322.741,1324.311,3819309.95
12.01.2018 04:30:00.000 GMT+0330,1324.312,1324.391,1323.158,1323.831,2846810.103
12.01.2018 05:30:00.000 GMT+0330,1323.839,1326.441,1323.592,1326.211,3566859.961
12.01.2018 06:30:00.000 GMT+0330,1326.212,1327.301,1325.698,1327.261,2899250.031
12.01.2018 07:30:00.000 GMT+0330,1327.261,1330.322,1327.108,1329.458,3756230.116
12.01.2018 08:30:00.000 GMT+0330,1329.452,1329.992,1327.781,1328.261,3615400.076
12.01.2018 09:30:00.000 GMT+0330,1328.262,1329.382,1328.031,1328.851,3011640.072
12.01.2018 10:30:00.000 GMT+0330,1328.831,1329.411,1326.768,1327.721,4758015.156
12.01.2018 11:30:00.000 GMT+0330,1327.672,1329.711,1326.552,1329.642,5295740.128
12.01.2018 12:30:00.000 GMT+0330,1329.642,1332.409,1329.551,1330.899,5578999.996
12.01.2018 13:30:00.000 GMT+0330,1330.899,1333.081,1330.028,1331.799,4649610.043
12.01.2018 14:30:00.000 GMT+0330,1331.799,1332.259,1330.559,1331.281,4670390.129
12.01.2018 15:30:00.000 GMT+0330,1331.282,1332.662,1330.761,1332.018,4954370.022
12.01.2018 16:30:00.000 GMT+0330,1332.018,1333.072,1324,1325.902,7994269.848
12.01.2018 17:30:00.000 GMT+0330,1325.911,1328.489,1324.648,1327.031,7761380.196
